
******OutputG*****

Unique files with one or more 'read from file' events:

File Name                                          Count      Timestamps
------------------------------------------------------------------------------------------
/lib/x86_64-linux-gnu/libc-2.23.so                 9          [0, 0, 1, 1, 1, 12, 18, 19, 19]
/home/user/test/in.txt                             2          [1, 1]
/etc/nsswitch.conf                                 8          [2, 2, 15, 15, 19, 19, 19, 19]
/lib/x86_64-linux-gnu/libnss_compat-2.23.so        4          [3, 15, 19, 19]
/lib/x86_64-linux-gnu/libnsl-2.23.so               4          [4, 15, 19, 19]
/lib/x86_64-linux-gnu/libnss_nis-2.23.so           4          [5, 15, 19, 19]
/lib/x86_64-linux-gnu/libnss_files-2.23.so         4          [6, 15, 19, 19]
/lib/x86_64-linux-gnu/libpcre.so.3.13.2            3          [7, 18, 19]
/lib/x86_64-linux-gnu/libuuid.so.1.3.0             1          [8]
/lib/x86_64-linux-gnu/libssl.so.1.0.0              1          [9]
/lib/x86_64-linux-gnu/libcrypto.so.1.0.0           1          [10]
/lib/x86_64-linux-gnu/libz.so.1.2.8                1          [11]
/usr/lib/x86_64-linux-gnu/libidn.so.11.6.15        1          [12]
/lib/x86_64-linux-gnu/libpthread-2.23.so           3          [13, 18, 19]
/lib/x86_64-linux-gnu/libdl-2.23.so                3          [14, 18, 19]
/etc/wgetrc                                        3          [15, 15, 15]
/etc/localtime                                     6          [16, 16, 19, 19, 19, 19]
socket:[24262]                                     2          [17, 17]
/lib/x86_64-linux-gnu/libselinux.so.1              2          [18, 19]
/proc/filesystems                                  4          [19, 19, 19, 19]
socket:[24314]                                     29         [20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 22, 22, 22]
/etc/lsb-release                                   3          [21, 21, 21]
anon_inode:[eventfd]                               2          [22, 22]
